"","union","performance","framing","id","round","trial","overextraction","observer","overext_observed","report","punished","round_profit","group_id"
"1",1,1,1,"321121",1,0,25,NA,NA,NA,NA,930,"121"
"2",1,1,1,"642111",1,0,15,NA,NA,NA,NA,1050,"111"
"3",1,1,1,"963121",1,0,50,NA,NA,NA,NA,1300,"121"
"4",1,1,1,"1284111",1,0,0,NA,NA,NA,NA,820,"111"
"5",1,1,1,"1605111",1,0,0,NA,NA,NA,NA,820,"111"
"6",1,1,1,"1926121",1,0,0,NA,NA,NA,NA,550,"121"
"7",1,1,1,"2247121",1,0,2,NA,NA,NA,NA,580,"121"
"8",1,1,1,"2568121",1,0,12,NA,NA,NA,NA,730,"121"
"9",1,1,1,"2889111",1,0,0,NA,NA,NA,NA,820,"111"
"10",1,1,1,"3210111",1,0,20,NA,NA,NA,NA,1120,"111"
"11",1,1,1,"321121",2,0,40,NA,NA,NA,NA,1070,"121"
"12",1,1,1,"642111",2,0,15,NA,NA,NA,NA,970,"111"
"13",1,1,1,"963121",2,0,50,NA,NA,NA,NA,1220,"121"
"14",1,1,1,"1284111",2,0,5,NA,NA,NA,NA,820,"111"
"15",1,1,1,"1605111",2,0,0,NA,NA,NA,NA,750,"111"
"16",1,1,1,"1926121",2,0,0,NA,NA,NA,NA,470,"121"
"17",1,1,1,"2247121",2,0,3,NA,NA,NA,NA,520,"121"
"18",1,1,1,"2568121",2,0,12,NA,NA,NA,NA,650,"121"
"19",1,1,1,"2889111",2,0,10,NA,NA,NA,NA,900,"111"
"20",1,1,1,"3210111",2,0,20,NA,NA,NA,NA,1050,"111"
"21",1,1,1,"321121",3,0,30,NA,NA,NA,NA,980,"121"
"22",1,1,1,"642111",3,0,25,NA,NA,NA,NA,1000,"111"
"23",1,1,1,"963121",3,0,50,NA,NA,NA,NA,1280,"121"
"24",1,1,1,"1284111",3,0,5,NA,NA,NA,NA,700,"111"
"25",1,1,1,"1605111",3,0,0,NA,NA,NA,NA,620,"111"
"26",1,1,1,"1926121",3,0,0,NA,NA,NA,NA,530,"121"
"27",1,1,1,"2247121",3,0,2,NA,NA,NA,NA,560,"121"
"28",1,1,1,"2568121",3,0,12,NA,NA,NA,NA,710,"121"
"29",1,1,1,"2889111",3,0,25,NA,NA,NA,NA,1000,"111"
