union,performance ,framing,id ,group,round,trial,overextraction,observer,overext_observed,report,punished,round_profit
1,1,1,321,2,1,1,25,-1,-1,0,0,0
1,1,1,642,1,1,1,20,-1,-1,0,0,0
1,1,1,963,2,1,1,50,-1,-1,0,0,0
1,1,1,1284,1,1,1,0,-1,-1,0,0,0
1,1,1,1605,1,1,1,0,-1,-1,0,0,0
1,1,1,1926,2,1,1,0,-1,-1,0,0,0
1,1,1,2247,2,1,1,2,-1,-1,0,0,0
1,1,1,2568,2,1,1,0,-1,-1,0,0,0
1,1,1,2889,1,1,1,0,-1,-1,0,0,0
1,1,1,3210,1,1,1,12,-1,-1,0,0,0
1,1,1,321,2,2,1,0,-1,-1,0,0,0
1,1,1,642,1,2,1,15,-1,-1,0,0,0
1,1,1,963,2,2,1,50,-1,-1,0,0,0
1,1,1,1284,1,2,1,20,-1,-1,0,0,0
1,1,1,1605,1,2,1,0,-1,-1,0,0,0
1,1,1,1926,2,2,1,0,-1,-1,0,0,0
1,1,1,2247,2,2,1,3,-1,-1,0,0,0
1,1,1,2568,2,2,1,0,-1,-1,0,0,0
1,1,1,2889,1,2,1,0,-1,-1,0,0,0
1,1,1,3210,1,2,1,20,-1,-1,0,0,0
1,1,1,321,2,3,1,50,-1,-1,0,0,0
1,1,1,642,1,3,1,15,-1,-1,0,0,0
1,1,1,963,2,3,1,50,-1,-1,0,0,0
1,1,1,1284,1,3,1,10,-1,-1,0,0,0
1,1,1,1605,1,3,1,0,-1,-1,0,0,0
1,1,1,1926,2,3,1,0,-1,-1,0,0,0
1,1,1,2247,2,3,1,4,-1,-1,0,0,0
1,1,1,2568,2,3,1,0,-1,-1,0,0,0
1,1,1,2889,1,3,1,0,-1,-1,0,0,0
1,1,1,3210,1,3,1,20,-1,-1,0,0,0
1,1,1,321,2,4,0,25,-1,-1,0,0,930
1,1,1,642,1,4,0,15,-1,-1,0,0,1050
1,1,1,963,2,4,0,50,-1,-1,0,0,1300
1,1,1,1284,1,4,0,0,-1,-1,0,0,820
1,1,1,1605,1,4,0,0,-1,-1,0,0,820
1,1,1,1926,2,4,0,0,-1,-1,0,0,550
1,1,1,2247,2,4,0,2,-1,-1,0,0,580
1,1,1,2568,2,4,0,12,-1,-1,0,0,730
1,1,1,2889,1,4,0,0,-1,-1,0,0,820
1,1,1,3210,1,4,0,20,-1,-1,0,0,1120
1,1,1,321,2,5,0,40,-1,-1,0,0,1070
1,1,1,642,1,5,0,15,-1,-1,0,0,970
1,1,1,963,2,5,0,50,-1,-1,0,0,1220
1,1,1,1284,1,5,0,5,-1,-1,0,0,820
1,1,1,1605,1,5,0,0,-1,-1,0,0,750
1,1,1,1926,2,5,0,0,-1,-1,0,0,470
1,1,1,2247,2,5,0,3,-1,-1,0,0,520
1,1,1,2568,2,5,0,12,-1,-1,0,0,650
1,1,1,2889,1,5,0,10,-1,-1,0,0,900
1,1,1,3210,1,5,0,20,-1,-1,0,0,1050
1,1,1,321,2,6,0,30,-1,-1,0,0,980
1,1,1,642,1,6,0,25,-1,-1,0,0,1000
1,1,1,963,2,6,0,50,-1,-1,0,0,1280
1,1,1,1284,1,6,0,5,-1,-1,0,0,700
1,1,1,1605,1,6,0,0,-1,-1,0,0,620
1,1,1,1926,2,6,0,0,-1,-1,0,0,530
1,1,1,2247,2,6,0,2,-1,-1,0,0,560
1,1,1,2568,2,6,0,12,-1,-1,0,0,710
1,1,1,2889,1,6,0,25,-1,-1,0,0,1000
1,1,1,3210,1,6,0,20,-1,-1,0,0,920
1,1,1,321,2,7,0,45,-1,-1,0,0,1130
1,1,1,642,1,7,0,20,-1,-1,0,0,900
1,1,1,963,2,7,0,50,-1,-1,0,0,1210
1,1,1,1284,1,7,0,5,-1,-1,0,0,680
1,1,1,1605,1,7,0,0,-1,-1,0,0,600
1,1,1,1926,2,7,0,0,-1,-1,0,0,460
1,1,1,2247,2,7,0,1,-1,-1,0,0,470
1,1,1,2568,2,7,0,12,-1,-1,0,0,640
1,1,1,2889,1,7,0,4,-1,-1,0,0,660
1,1,1,3210,1,7,0,50,-1,-1,0,0,1350
