"union","performance","framing","id","group_id","round","overextraction","observer","overext_observed","report","punished","round_profit"
1,1,1,"32111","121",1,25,NA,NA,NA,NA,930
1,1,1,"64211","111",1,15,NA,NA,NA,NA,1050
1,1,1,"96311","121",1,50,NA,NA,NA,NA,1300
1,1,1,"128411","111",1,0,NA,NA,NA,NA,820
1,1,1,"160511","111",1,0,NA,NA,NA,NA,820
1,1,1,"192611","121",1,0,NA,NA,NA,NA,550
1,1,1,"224711","121",1,2,NA,NA,NA,NA,580
1,1,1,"256811","121",1,12,NA,NA,NA,NA,730
1,1,1,"288911","111",1,0,NA,NA,NA,NA,820
1,1,1,"321011","111",1,20,NA,NA,NA,NA,1120
1,1,1,"32111","121",2,40,NA,NA,NA,NA,1070
1,1,1,"64211","111",2,15,NA,NA,NA,NA,970
1,1,1,"96311","121",2,50,NA,NA,NA,NA,1220
1,1,1,"128411","111",2,5,NA,NA,NA,NA,820
1,1,1,"160511","111",2,0,NA,NA,NA,NA,750
1,1,1,"192611","121",2,0,NA,NA,NA,NA,470
1,1,1,"224711","121",2,3,NA,NA,NA,NA,520
1,1,1,"256811","121",2,12,NA,NA,NA,NA,650
1,1,1,"288911","111",2,10,NA,NA,NA,NA,900
1,1,1,"321011","111",2,20,NA,NA,NA,NA,1050
1,1,1,"32111","121",3,30,NA,NA,NA,NA,980
1,1,1,"64211","111",3,25,NA,NA,NA,NA,1000
1,1,1,"96311","121",3,50,NA,NA,NA,NA,1280
1,1,1,"128411","111",3,5,NA,NA,NA,NA,700
1,1,1,"160511","111",3,0,NA,NA,NA,NA,620
1,1,1,"192611","121",3,0,NA,NA,NA,NA,530
1,1,1,"224711","121",3,2,NA,NA,NA,NA,560
1,1,1,"256811","121",3,12,NA,NA,NA,NA,710
1,1,1,"288911","111",3,25,NA,NA,NA,NA,1000
1,1,1,"321011","111",3,20,NA,NA,NA,NA,920
1,1,1,"32111","121",4,45,NA,NA,NA,NA,1130
1,1,1,"64211","111",4,20,NA,NA,NA,NA,900
1,1,1,"96311","121",4,50,NA,NA,NA,NA,1210
1,1,1,"128411","111",4,5,NA,NA,NA,NA,680
1,1,1,"160511","111",4,0,NA,NA,NA,NA,600
1,1,1,"192611","121",4,0,NA,NA,NA,NA,460
1,1,1,"224711","121",4,1,NA,NA,NA,NA,470
1,1,1,"256811","121",4,12,NA,NA,NA,NA,640
1,1,1,"288911","111",4,4,NA,NA,NA,NA,660
